TimeStamp in ms:	Pressure in Pa:	Systeme State:	Alarm State:	
1588809755000 	10709359 	13 	1
1588809755250 	10716996 	13 	1
1588809755500 	10724608 	13 	1
1588809755750 	10732105 	13 	1
1588809756000 	10738263 	13 	1
1588809756250 	10745942 	13 	1
1588809756500 	10751433 	13 	1
1588809756750 	10759187 	13 	1
1588809757000 	10765307 	13 	1
1588809757250 	10772427 	13 	1
1588809757500 	10780138 	13 	1
1588809757750 	10785790 	13 	1
1588809758000 	10793573 	13 	1
1588809758250 	10799166 	13 	1
1588809758500 	10806701 	13 	1
1588809758750 	10813310 	13 	1
1588809759000 	10820567 	13 	1
1588809759250 	10826458 	13 	1
1588809759500 	10834109 	13 	1
1588809759750 	10841723 	13 	1
1588809760000 	10849060 	13 	1
1588809760250 	10855670 	13 	1
1588809760500 	10861896 	13 	1
1588809760750 	10868019 	13 	1
1588809761000 	10875590 	13 	1
1588809761250 	10881409 	13 	1
1588809761500 	10888742 	13 	1
1588809761750 	10894542 	13 	1
1588809762000 	10901916 	13 	1
1588809762250 	10908534 	13 	1
1588809762500 	10915060 	13 	1
1588809762750 	10921270 	13 	1
1588809763000 	10927474 	13 	1
1588809763250 	10933546 	13 	1
1588809763500 	10939607 	13 	1
1588809763750 	10946708 	13 	1
1588809764000 	10952781 	13 	1
1588809764250 	10961005 	13 	1
1588809764500 	10968148 	13 	1
1588809764750 	10975014 	13 	1
1588809765000 	10982615 	13 	1
1588809765250 	10989274 	13 	1
1588809765500 	10995982 	13 	1
1588809765750 	11003138 	13 	1
1588809766000 	11009984 	13 	1
1588809766250 	11016403 	13 	1
1588809766500 	11024728 	13 	1
1588809766750 	11032939 	13 	1
1588809767000 	11039340 	13 	1
1588809767250 	11047426 	13 	1
1588809767500 	11055345 	13 	1
1588809767750 	11063125 	13 	1
1588809768000 	11069447 	13 	1
1588809768250 	11077601 	13 	1
1588809768500 	11085934 	13 	1
1588809768750 	11093803 	13 	1
1588809769000 	11102173 	13 	1
1588809769250 	11109818 	13 	1
1588809769500 	11117850 	13 	1
1588809769750 	11125104 	13 	1
1588809770000 	11133261 	13 	1
1588809770250 	11139732 	13 	1
1588809770500 	11147493 	13 	1
1588809770750 	11156134 	13 	1
1588809771000 	11162505 	13 	1
1588809771250 	11170138 	13 	1
1588809771500 	11177273 	13 	1
1588809771750 	11183931 	13 	1
1588809772000 	11191584 	13 	1
1588809772250 	11199606 	13 	1
1588809772500 	11206857 	13 	1
1588809772750 	11213420 	13 	1
1588809773000 	11222232 	13 	1
1588809773250 	11230303 	13 	1
1588809773500 	11238118 	13 	1
1588809773750 	11245017 	13 	1
1588809774000 	11253133 	13 	1
1588809774250 	11260917 	13 	1
1588809774500 	11267654 	13 	1
1588809774750 	11276182 	13 	1
1588809775000 	11283208 	13 	1
1588809775250 	11291405 	13 	1
1588809775500 	11298837 	13 	1
1588809775750 	11306128 	13 	1
1588809776000 	11314004 	13 	1
1588809776250 	11320841 	13 	1
1588809776500 	11329895 	13 	1
1588809776750 	11337180 	13 	1
1588809777000 	11345519 	13 	1
1588809777250 	11354044 	13 	1
1588809777500 	11361970 	13 	1
1588809777750 	11369436 	13 	1
1588809778000 	11377786 	13 	1
1588809778250 	11384845 	13 	1
1588809778500 	11391871 	13 	1
1588809778750 	11400330 	13 	1
1588809779000 	11408742 	13 	1
1588809779250 	11416170 	13 	1
1588809779500 	11424536 	13 	1
1588809779750 	11433833 	13 	1
1588809780000 	11442935 	13 	1
1588809780250 	11452185 	13 	1
1588809780500 	11459260 	13 	1
1588809780750 	11467935 	13 	1
1588809781000 	11476436 	13 	1
1588809781250 	11484889 	13 	1
1588809781500 	11494009 	13 	1
1588809781750 	11501318 	13 	1
1588809782000 	11510630 	13 	1
1588809782250 	11519981 	13 	1
1588809782500 	11529294 	13 	1
1588809782750 	11536690 	13 	1
1588809783000 	11545278 	13 	1
1588809783250 	11552609 	13 	1
1588809783500 	11560702 	13 	1
1588809783750 	11570118 	13 	1
1588809784000 	11577656 	13 	1
1588809784250 	11585319 	13 	1
1588809784500 	11594919 	13 	1
1588809784750 	11603677 	13 	1
1588809785000 	11612729 	13 	1
1588809785250 	11621135 	13 	1
1588809785500 	11630624 	13 	1
1588809785750 	11638870 	13 	1
1588809786000 	11647127 	13 	1
1588809786250 	11656415 	13 	1
1588809786500 	11665877 	13 	1
1588809786750 	11675721 	13 	1
1588809787000 	11683192 	13 	1
1588809787250 	11691757 	13 	1
1588809787500 	11701616 	13 	1
1588809787750 	11711291 	13 	1
1588809788000 	11719790 	13 	1
1588809788250 	11729355 	13 	1
1588809788500 	11737916 	13 	1
1588809788750 	11747510 	13 	1
1588809789000 	11756140 	13 	1
1588809789250 	11764415 	13 	1
1588809789500 	11774294 	13 	1
1588809789750 	11782357 	13 	1
1588809790000 	11790085 	13 	1
1588809790250 	11799362 	13 	1
1588809790500 	11807725 	13 	1
1588809790750 	11816490 	13 	1
1588809791000 	11825965 	13 	1
1588809791250 	11834834 	13 	1
1588809791500 	11843445 	13 	1
1588809791750 	11853270 	13 	1
1588809792000 	11862596 	13 	1
1588809792250 	11870745 	13 	1
1588809792500 	11879248 	13 	1
1588809792750 	11887963 	13 	1
1588809793000 	11896802 	13 	1
1588809793250 	11905094 	13 	1
1588809793500 	11914302 	13 	1
1588809793750 	11924063 	13 	1
1588809794000 	11933853 	13 	1
1588809794250 	11942750 	13 	1
1588809794500 	11952563 	13 	1
1588809794750 	11962416 	13 	1
1588809795000 	11972450 	13 	1
1588809795250 	11981838 	13 	1
1588809795500 	11991064 	13 	1
1588809795750 	11999712 	13 	1
1588809796000 	12008326 	13 	1
1588809796250 	12018593 	13 	1
1588809796500 	12028859 	13 	1
1588809796750 	12038546 	13 	1
1588809797000 	12049074 	13 	1
1588809797250 	12059222 	13 	1
1588809797500 	12068921 	13 	1
1588809797750 	12079544 	13 	1
1588809798000 	12088916 	13 	1
1588809798250 	12099306 	13 	1
1588809798500 	12108603 	13 	1
1588809798750 	12119304 	13 	1
1588809799000 	12127998 	13 	1
1588809799250 	12137723 	13 	1
1588809799500 	12147646 	13 	1
1588809799750 	12157445 	13 	1
1588809800000 	12167078 	13 	1
1588809800250 	12177682 	13 	1
1588809800500 	12187918 	13 	1
1588809800750 	12198530 	13 	1
1588809801000 	12209110 	13 	1
1588809801250 	12218255 	13 	1
1588809801500 	12228310 	13 	1
1588809801750 	12238344 	13 	1
1588809802000 	12247993 	13 	1
1588809802250 	12257048 	13 	1
1588809802500 	12266539 	13 	1
1588809802750 	12275808 	13 	1
1588809803000 	12285783 	13 	1
1588809803250 	12296012 	13 	1
1588809803500 	12305422 	13 	1
1588809803750 	12315922 	13 	1
1588809804000 	12325907 	13 	1
1588809804250 	12335054 	13 	1
